   w                            DFT(re)                         exact(re)
-459.34573        0.00000000000000002210     0.0000000000000000000000000
-458.89715       -0.00000000000000017646     0.0000000000000000000000000
-458.44857        0.00000000000000015290     0.0000000000000000000000000
-457.99999       -0.00000000000000004526     0.0000000000000000000000000
-457.55141       -0.00000000000000003918     0.0000000000000000000000000
-457.10283       -0.00000000000000003677     0.0000000000000000000000000
-456.65425       -0.00000000000000003501     0.0000000000000000000000000
-456.20567       -0.00000000000000000677     0.0000000000000000000000000
-455.75709       -0.00000000000000003171     0.0000000000000000000000000
-455.30851       -0.00000000000000005213     0.0000000000000000000000000
-454.85993        0.00000000000000000386     0.0000000000000000000000000
-454.41135        0.00000000000000001697     0.0000000000000000000000000
-453.96277        0.00000000000000003018     0.0000000000000000000000000
-453.51419        0.00000000000000000363     0.0000000000000000000000000
-453.06561       -0.00000000000000001113     0.0000000000000000000000000
-452.61703       -0.00000000000000001592     0.0000000000000000000000000
-452.16845        0.00000000000000001779     0.0000000000000000000000000
-451.71987       -0.00000000000000021726     0.0000000000000000000000000
-451.27129        0.00000000000000000437     0.0000000000000000000000000
-450.82271        0.00000000000000002423     0.0000000000000000000000000
-450.37413        0.00000000000000002218     0.0000000000000000000000000
-449.92555       -0.00000000000000001422     0.0000000000000000000000000
-449.47697       -0.00000000000000003366     0.0000000000000000000000000
-449.02839       -0.00000000000000003505     0.0000000000000000000000000
-448.57981       -0.00000000000000011126     0.0000000000000000000000000
-448.13123       -0.00000000000000017132     0.0000000000000000000000000
-447.68265        0.00000000000000063555     0.0000000000000000000000000
-447.23407        0.00000000000000005166     0.0000000000000000000000000
-446.78549        0.00000000000000003999     0.0000000000000000000000000
-446.33691        0.00000000000000001309     0.0000000000000000000000000
-445.88833       -0.00000000000000002053     0.0000000000000000000000000
-445.43975        0.00000000000000005468     0.0000000000000000000000000
-444.99117        0.00000000000000002910     0.0000000000000000000000000
-444.54259       -0.00000000000000002210     0.0000000000000000000000000
-444.09401        0.00000000000000000041     0.0000000000000000000000000
-443.64543       -0.00000000000000020924     0.0000000000000000000000000
-443.19685        0.00000000000000000011     0.0000000000000000000000000
-442.74827       -0.00000000000000003753     0.0000000000000000000000000
-442.29969       -0.00000000000000001024     0.0000000000000000000000000
-441.85111        0.00000000000000019899     0.0000000000000000000000000
-441.40253        0.00000000000000011363     0.0000000000000000000000000
-440.95395       -0.00000000000000002073     0.0000000000000000000000000
-440.50537       -0.00000000000000000214     0.0000000000000000000000000
-440.05679       -0.00000000000000003779     0.0000000000000000000000000
-439.60821       -0.00000000000000008344     0.0000000000000000000000000
-439.15963        0.00000000000000000237     0.0000000000000000000000000
-438.71105        0.00000000000000001061     0.0000000000000000000000000
-438.26247       -0.00000000000000005703     0.0000000000000000000000000
-437.81389       -0.00000000000000001444     0.0000000000000000000000000
-437.36532       -0.00000000000000010086     0.0000000000000000000000000
-436.91674        0.00000000000000002297     0.0000000000000000000000000
-436.46816       -0.00000000000000009332     0.0000000000000000000000000
-436.01958        0.00000000000000000978     0.0000000000000000000000000
-435.57100        0.00000000000000045449     0.0000000000000000000000000
-435.12242        0.00000000000000005806     0.0000000000000000000000000
-434.67384        0.00000000000000020536     0.0000000000000000000000000
-434.22526       -0.00000000000000000462     0.0000000000000000000000000
-433.77668       -0.00000000000000005699     0.0000000000000000000000000
-433.32810       -0.00000000000000007684     0.0000000000000000000000000
-432.87952       -0.00000000000000014661     0.0000000000000000000000000
-432.43094       -0.00000000000000001950     0.0000000000000000000000000
-431.98236        0.00000000000000009888     0.0000000000000000000000000
-431.53378       -0.00000000000000000047     0.0000000000000000000000000
-431.08520        0.00000000000000046145     0.0000000000000000000000000
-430.63662       -0.00000000000000001468     0.0000000000000000000000000
-430.18804       -0.00000000000000000051     0.0000000000000000000000000
-429.73946       -0.00000000000000033755     0.0000000000000000000000000
-429.29088       -0.00000000000000006282     0.0000000000000000000000000
-428.84230       -0.00000000000000009916     0.0000000000000000000000000
-428.39372        0.00000000000000014210     0.0000000000000000000000000
